Feature,rank
linear_reg_prev_20,2224.0
btcdom_volume_prev_252,2228.5
btcd_open_prev_24,2228.5
btcdom_high_prev_80,2230.5
btcdom_close_prev_28,2233.5
atr_prev_56,2234.5
btcdom_low_prev_248,2235.0
btcdom_high_prev_72,2240.0
btcdom_close_prev_76,2240.5
linear_reg_angle_prev_188,2242.5
btcdom_volume_prev_268,2245.5
high_prev_44,2246.5
low_prev_244,2248.5
macd_prev_56,2248.5
sar,2249.5
rsi_prev_4,2250.5
rsi_prev_116,2253.5
cci_prev_76,2254.5
btcdom_high_prev_24,2255.0
btcdom_low_prev_12,2256.0
linear_reg_prev_212,2256.0
linear_reg_prev_120,2258.5
stoch_diff_prev_20,2259.5
open_prev_192,2263.5
btcd_close_prev_120,2265.0
linear_reg_prev_24,2266.5
linear_reg_prev_256,2268.5
atr_prev_136,2269.5
btcdom_open_prev_64,2271.0
macdsignal_prev_28,2271.5
linear_reg_prev_100,2272.5
macd_prev_32,2273.5
rsi_prev_136,2274.5
btcd_open_prev_120,2275.0
close_prev_36,2275.5
linear_reg_angle_prev_224,2279.5
sar_prev_8,2279.5
cci_prev_152,2279.5
rsi_prev_128,2279.5
stoch_slowd_prev_180,2281.5
btcd_close_prev_240,2285.0
atr_prev_168,2285.5
stoch_slowk_prev_228,2285.5
linear_reg_prev_180,2285.5
cci_prev_180,2287.5
stoch_diff_prev_184,2287.5
btcdom_open_prev_12,2288.0
open,2298.5
btcdom_close_prev_152,2299.0
low_prev_16,2300.5
linear_reg_angle_prev_68,2300.5
rsi_prev_232,2301.5
btcdom_volume_prev_100,2302.5
btcd_low,2304.0
stoch_slowd_prev_84,2304.5
btcdom_low_prev_40,2305.0
linear_reg_prev_264,2306.5
btcdom_high_prev_200,2307.0
cci_prev_56,2307.5
high,2312.5
low_prev_268,2312.5
sar_prev_4,2312.5
cci_prev_200,2312.5
btcdom_low,2313.0
btcdom_open_prev_152,2315.0
cci_prev_264,2317.5
close_prev_24,2317.5
stoch_slowk_prev_168,2319.5
close_prev_92,2321.5
high_prev_68,2323.5
low_prev_216,2324.5
macd_prev_188,2325.0
open_prev_240,2325.5
btcd_volume_prev_240,2326.5
atr_prev_124,2328.5
btcdom_volume_prev_8,2328.5
rsi_prev_204,2329.5
close_prev_164,2331.5
btcdom_low_prev_16,2333.0
cci_prev_124,2333.5
cci_prev_4,2333.5
stoch_slowk_prev_204,2333.5
btcdom_volume_prev_208,2334.5
btcdom_low_prev_64,2336.0
btcd_high_prev_48,2336.0
btcdom_low_prev_68,2336.0
btcd_close_prev_72,2338.0
stoch_slowd_prev_100,2338.5
btcdom_volume_prev_4,2338.5
linear_reg_prev_68,2339.5
btcdom_open_prev_48,2341.0
stoch_slowd_prev_144,2341.5
btcdom_volume_prev_176,2342.5
atr_prev_28,2346.5
btcd_open_prev_72,2347.0
stoch_slowk_prev_188,2348.5
btcdom_low_prev_32,2348.5
atr_prev_240,2349.5
sar_prev_240,2350.5
btcdom_volume_prev_232,2352.5
btcdom_high_prev_264,2353.0
btcdom_open_prev_56,2355.0
close_prev_240,2355.5
stoch_slowd_prev_80,2357.5
btcd_volume_prev_120,2358.5
low_prev_20,2359.5
btcdom_volume_prev_188,2360.5
btcdom_high_prev_4,2360.5
btcdom_high_prev_12,2361.0
close_prev_208,2361.5
linear_reg_prev_160,2361.5
atr_prev_100,2362.5
btcdom_low_prev_168,2363.0
atr_prev_48,2363.5
atr_prev_8,2366.5
atr_prev_260,2367.5
stoch_slowk_prev_144,2368.5
btcd_volume_prev_168,2369.5
stoch_diff_prev_16,2370.5
atr_prev_184,2373.5
linear_reg_prev_40,2374.5
atr_prev_60,2374.5
macdhist_prev_76,2374.5
btcdom_low_prev_148,2375.0
high_prev_80,2375.5
low_prev_132,2375.5
btcdom_close_prev_4,2376.0
rsi_prev_248,2379.5
rsi_prev_104,2379.5
btcdom_volume_prev_264,2379.5
btcd_open_prev_168,2381.0
low_prev_4,2381.5
btcd_volume,2383.5
btcdom_volume_prev_88,2384.5
btcdom_volume_prev_148,2384.5
linear_reg_prev_232,2386.5
btcdom_volume_prev_256,2386.5
stoch_diff_prev_152,2387.5
btcdom_volume_prev_140,2387.5
btcdom_volume_prev_16,2387.5
macd_prev_180,2388.5
btcdom_high_prev_140,2389.0
stoch_diff_prev_40,2389.5
linear_reg_prev_220,2390.0
btcdom_volume_prev_272,2391.5
btcdom_volume_prev_196,2391.5
funding_rate_prev_32,2391.5
btcdom_volume_prev_220,2392.5
rsi_prev_8,2394.5
close,2394.5
btcdom_volume_prev_108,2394.5
rsi_prev_184,2395.5
btcdom_volume_prev_120,2396.5
stoch_slowk_prev_216,2396.5
btcdom_low_prev_96,2399.0
linear_reg_prev_44,2399.5
btcdom_volume_prev_116,2400.5
btcdom_low_prev_72,2401.0
btcdom_close_prev_156,2401.0
btcdom_volume_prev_132,2402.5
btcdom_volume_prev_152,2403.5
btcdom_volume_prev_192,2403.5
rsi_prev_168,2405.5
close_prev_64,2408.5
stoch_slowk_prev_40,2409.5
btcdom_volume_prev_80,2410.5
macdsignal_prev_268,2412.5
btcdom_close_prev_164,2412.5
rsi_prev_160,2412.5
atr_prev_132,2413.5
macdhist_prev_136,2414.5
stoch_diff_prev_28,2415.5
btcdom_volume_prev_96,2415.5
high_prev_180,2415.5
btcdom_low_prev_176,2416.0
btcdom_high_prev_196,2416.0
stoch_diff_prev_52,2416.5
macd_prev_48,2416.5
cci_prev_132,2417.5
btcdom_low_prev_172,2418.0
btcdom_high_prev_224,2418.0
rsi_prev_196,2418.5
btcdom_open_prev_128,2419.0
btcdom_open_prev_36,2421.0
cci_prev_88,2421.5
btcdom_volume_prev_48,2422.5
stoch_diff_prev_12,2422.5
low_prev_172,2422.5
stoch_slowd_prev_88,2423.5
macd_prev_12,2423.5
btcdom_close_prev_52,2424.0
btcdom_low_prev_252,2425.5
stoch_diff_prev_116,2425.5
funding_rate_prev_256,2426.0
btcdom_high_prev_20,2431.5
atr_prev_140,2431.5
btcd_close_prev_192,2432.0
btcdom_high_prev_148,2432.5
close_prev_72,2432.5
btcdom_high_prev_52,2434.0
macdhist_prev_204,2434.5
close_prev_16,2436.5
stoch_diff_prev_216,2437.5
stoch_slowk,2438.5
btcdom_open_prev_8,2439.0
macd_prev_272,2439.5
atr_prev_4,2439.5
btcdom_open_prev_252,2441.0
btcdom_open_prev_188,2443.0
funding_rate_prev_88,2445.5
rsi_prev_80,2445.5
cci_prev_256,2446.5
low_prev_48,2447.5
rsi_prev_36,2449.5
btcdom_open_prev_24,2450.0
volume_prev_164,2450.5
cci_prev_268,2450.5
high_prev_208,2450.5
macdhist_prev_152,2452.5
stoch_slowk_prev_272,2454.5
atr_prev_164,2455.5
atr_prev_36,2456.5
low_prev_52,2456.5
funding_rate_prev_96,2457.5
linear_reg_prev_80,2457.5
stoch_diff_prev_256,2460.5
btcdom_high_prev_232,2462.0
stoch_diff_prev_236,2462.5
high_prev_240,2463.5
linear_reg_prev_88,2464.5
macdhist_prev_244,2464.5
btcdom_low_prev_104,2467.0
btcd_close_prev_144,2470.0
stoch_diff_prev_60,2470.5
rsi_prev_264,2471.5
linear_reg_prev_152,2471.5
low_prev_60,2472.5
close_prev_256,2473.5
atr_prev_80,2474.5
stoch_diff_prev_200,2475.5
high_prev_272,2476.5
stoch_diff_prev_156,2477.5
stoch_diff_prev_32,2477.5
btcdom_low_prev_192,2478.0
linear_reg_prev_192,2479.5
linear_reg_prev_236,2480.5
cci_prev_252,2480.5
btcdom_high_prev_108,2481.0
cci_prev_68,2481.5
close_prev_44,2481.5
macd_prev_64,2481.5
stoch_slowd_prev_48,2481.5
sar_prev_272,2483.0
stoch_diff_prev_176,2484.5
stoch_diff_prev_56,2485.5
macdhist_prev_140,2485.5
high_prev_232,2486.5
btcdom_low_prev_76,2487.0
rsi_prev_140,2487.5
btcdom_high_prev_204,2488.5
rsi_prev_48,2490.5
btcdom_high_prev_176,2491.0
sar_prev_88,2491.5
btcdom_high_prev_220,2492.0
macdhist_prev_252,2494.5
btcdom_low_prev_144,2496.0
low_prev_8,2496.5
stoch_slowd_prev_112,2499.5
btcdom_open_prev_136,2501.0
cci_prev_52,2502.5
btcdom_open_prev_124,2505.0
stoch_diff_prev_160,2505.5
cci_prev_176,2505.5
stoch_slowd_prev_36,2506.5
high_prev_220,2506.5
sar_prev_132,2507.0
btcdom_high_prev_244,2507.0
stoch_slowk_prev_48,2509.5
linear_reg_angle_prev_148,2509.5
close_prev_200,2509.5
btcdom_low_prev_140,2512.0
stoch_slowk_prev_100,2512.5
macdhist_prev_272,2512.5
rsi_prev_92,2512.5
high_prev_260,2513.5
low_prev_56,2513.5
btcdom_close_prev_32,2516.0
btcdom_open_prev_4,2517.0
hour,2517.5
sar_prev_152,2517.5
btcdom_open_prev_200,2518.0
btcdom_high_prev_172,2519.0
stoch_diff_prev_144,2520.5
high_prev_268,2520.5
macd_prev_84,2520.5
low_prev_152,2521.5
btcdom_high_prev_84,2522.0
sar_prev_212,2523.5
macdsignal_prev_244,2523.5
btcdom_low_prev_208,2524.0
atr_prev_44,2524.5
stoch_slowk_prev_260,2524.5
rsi_prev_228,2526.5
high_prev_216,2526.5
low_prev_180,2528.5
atr_prev_172,2528.5
stoch_diff_prev_108,2529.5
btcdom_open_prev_68,2532.0
btcdom_high_prev_36,2535.0
btcdom_high_prev_252,2536.0
high_prev_132,2536.5
macd_prev_232,2538.0
btcdom_high_prev_188,2539.0
stoch_diff_prev_112,2539.5
stoch_diff_prev_36,2539.5
macdsignal_prev_24,2541.0
btcdom_close_prev_60,2541.0
cci_prev_164,2544.5
atr_prev_244,2545.5
btcdom_low_prev_128,2547.0
cci_prev_236,2549.5
cci_prev_148,2549.5
macd_prev_236,2550.5
linear_reg_prev_164,2552.0
low_prev_200,2552.5
btcdom_low_prev_232,2553.0
low_prev_144,2553.5
macdsignal_prev_160,2553.5
atr_prev_96,2553.5
high_prev_224,2554.5
linear_reg_prev_108,2555.5
volume_prev_272,2555.5
macdhist_prev_124,2556.0
macdhist_prev_164,2556.5
cci_prev_220,2556.5
rsi_prev_84,2557.5
high_prev_96,2558.5
btcdom_close_prev_36,2560.0
btcdom_close_prev_248,2560.0
cci_prev_228,2560.5
macd_prev_72,2560.5
linear_reg_angle_prev_140,2561.5
btcdom_high_prev_100,2562.0
close_prev_40,2562.5
btcdom_low_prev_200,2563.0
high_prev_252,2564.5
macd_prev_88,2565.0
stoch_diff_prev_208,2565.5
macdhist_prev_8,2565.5
volume_prev_248,2567.5
volume_prev_60,2568.5
macdsignal_prev_196,2568.5
btcdom_open_prev_52,2569.0
btcdom_low_prev_120,2570.0
cci_prev_20,2570.5
macd_prev_148,2571.0
stoch_slowd_prev_120,2573.5
low_prev_148,2573.5
macdhist_prev_172,2574.0
cci_prev_80,2574.5
stoch_slowk_prev_124,2575.5
btcd_low_prev_144,2576.0
btcd_close_prev_168,2576.0
macdhist_prev_88,2576.0
stoch_slowk_prev_16,2576.5
cci_prev_64,2578.5
cci_prev_216,2578.5
