time,btcdom_open,btcdom_high,btcdom_low,btcdom_close,btcdom_volume
2025-09-05 03:00:00,3971.1,3992.1,3958.0,3970.5,406.696
2025-09-05 07:00:00,3970.0,3984.9,3949.7,3956.8,634.956
2025-09-05 11:00:00,3956.8,3971.9,3933.5,3940.9,418.321
2025-09-05 15:00:00,3941.0,3978.6,3919.0,3966.6,1216.477
2025-09-05 19:00:00,3966.0,3972.6,3946.4,3954.1,272.515
2025-09-05 23:00:00,3953.6,3955.6,3937.2,3946.0,285.528
2025-09-06 03:00:00,3946.0,3953.8,3934.9,3946.1,264.262
2025-09-06 07:00:00,3946.1,3958.9,3945.0,3945.6,184.416
2025-09-06 11:00:00,3945.5,3965.0,3945.2,3961.1,188.565
2025-09-06 15:00:00,3961.0,3969.7,3954.3,3962.3,299.029
2025-09-06 19:00:00,3961.7,3969.0,3940.3,3965.1,279.036
2025-09-06 23:00:00,3965.1,3965.8,3947.0,3955.2,165.353
2025-09-07 03:00:00,3955.2,3963.8,3938.4,3941.5,281.163
2025-09-07 07:00:00,3941.6,3948.9,3935.6,3945.6,179.139
2025-09-07 11:00:00,3945.7,3956.6,3940.7,3950.4,174.611
2025-09-07 15:00:00,3950.1,3955.7,3922.9,3935.8,415.125
2025-09-07 19:00:00,3935.8,3957.7,3934.2,3949.1,237.821
2025-09-07 23:00:00,3949.4,3953.6,3910.7,3920.8,348.196
2025-09-08 03:00:00,3920.2,3926.9,3894.8,3903.9,414.86
2025-09-08 07:00:00,3903.8,3928.6,3896.7,3921.3,431.398
2025-09-08 11:00:00,3920.9,3933.4,3899.2,3916.5,361.129
2025-09-08 15:00:00,3916.8,3919.6,3886.3,3891.9,535.697
2025-09-08 19:00:00,3892.1,3922.8,3881.0,3914.9,758.664
2025-09-08 23:00:00,3914.7,3922.7,3901.2,3906.2,197.528
2025-09-09 03:00:00,3906.8,3914.5,3896.2,3900.6,491.547
2025-09-09 07:00:00,3900.8,3910.9,3872.3,3882.7,508.877
2025-09-09 11:00:00,3882.7,3889.9,3875.4,3879.0,460.149
2025-09-09 15:00:00,3879.1,3909.0,3866.8,3887.9,897.733
2025-09-09 19:00:00,3887.0,3891.1,3867.2,3881.3,655.933
2025-09-09 23:00:00,3881.2,3888.8,3873.0,3883.7,342.647
2025-09-10 03:00:00,3883.7,3890.6,3855.8,3864.9,570.212
2025-09-10 07:00:00,3865.0,3885.9,3864.5,3882.7,229.237
2025-09-10 11:00:00,3882.8,3895.4,3881.1,3884.6,416.404
2025-09-10 15:00:00,3884.8,3894.1,3856.8,3881.0,637.079
2025-09-10 19:00:00,3880.1,3934.1,3875.3,3925.3,666.262
2025-09-10 23:00:00,3925.1,3930.7,3905.4,3909.5,343.342
2025-09-11 03:00:00,3909.5,3916.0,3882.8,3885.8,424.2
2025-09-11 07:00:00,3885.7,3887.7,3848.1,3860.3,608.738
