,Feature,rank
368,stoch_slowd,1435.0
369,stoch_diff_prev_76,1436.0
370,linear_reg_prev_56,1436.0
371,stoch_slowk_dir_prev_124,1436.5
372,rsi_prev_24,1438.0
373,macdsignal_dir_prev_60,1438.0
374,stoch_slowd_dir_prev_28,1440.0
375,linear_reg_prev_20,1440.5
376,rsi_prev_48,1443.0
377,macdhist_prev_40,1444.0
378,macdsignal_dir_prev_108,1444.0
379,volume_prev_76,1444.5
380,macd_prev_48,1445.0
381,macd_prev_68,1445.5
382,open,1448.0
383,macdsignal_dir_prev_192,1448.0
384,stoch_slowd_dir_prev_148,1449.0
385,atr_prev_12,1451.5
386,stoch_slowk_dir_prev_144,1452.0
387,macd_dir_prev_192,1454.5
388,atr_prev_120,1455.5
389,macdsignal_prev_140,1456.0
390,linear_reg_prev_148,1457.5
391,stoch_slowd_dir_prev_68,1458.0
392,macd_prev_172,1459.0
393,rsi_prev_192,1459.0
394,atr_prev_88,1460.5
395,volume_prev_64,1461.0
396,atr_prev_28,1461.5
397,macd_prev_128,1461.5
398,linear_reg_angle_prev_144,1463.0
399,close_smooth_prev_8,1466.0
400,rsi_prev_64,1467.0
401,stoch_slowd_prev_112,1470.0
402,macdsignal_dir_prev_40,1470.5
403,macdhist_prev_104,1472.0
404,macdhist_prev_164,1472.0
405,atr_prev_188,1472.5
406,linear_reg_angle_prev_140,1474.0
407,close_smooth_prev_64,1475.0
408,stoch_slowk_prev_40,1475.0
409,stoch_slowd_prev_44,1479.0
410,linear_reg_prev_40,1479.0
411,linear_reg_angle_prev_192,1480.0
412,stoch_slowk_prev_152,1482.0
413,rsi_prev_164,1482.5
414,linear_reg_angle_prev_116,1483.0
415,linear_reg_prev_136,1483.0
416,stoch_slowk_dir_prev_140,1483.0
417,stoch_diff_prev_60,1484.0
418,stoch_slowd_prev_168,1485.0
419,low_prev_12,1486.0
420,stoch_slowd_prev_120,1488.0
421,macdhist_prev_192,1489.5
422,stoch_slowk_prev_64,1492.0
423,volume_prev_36,1493.5
424,stoch_slowd_dir_prev_80,1497.0
425,stoch_diff_prev_148,1499.0
426,macdsignal_prev_132,1499.0
427,stoch_slowk_prev_180,1500.0
428,linear_reg_angle_prev_64,1503.0
429,stoch_slowd_prev_176,1505.0
430,low_prev_4,1506.5
431,stoch_slowk_prev_36,1507.0
432,macdsignal_dir_prev_176,1508.0
433,macdsignal_dir_prev_64,1512.0
434,macdhist_prev_36,1513.0
435,stoch_slowd_dir_prev_76,1514.0
436,macd_dir_prev_180,1514.0
437,volume_prev_188,1516.0
438,linear_reg_angle_prev_76,1518.0
439,stoch_slowd_dir_prev_20,1520.0
440,macdhist_prev_184,1520.5
441,stoch_diff_prev_64,1524.0
442,stoch_slowk,1528.5
443,stoch_diff_prev_180,1529.0
444,linear_reg_prev_84,1529.5
445,volume_prev_132,1533.5
446,rsi_prev_132,1537.0
447,stoch_diff_prev_100,1538.0
448,stoch_slowk_prev_80,1543.0
449,volume_prev_172,1543.0
450,stoch_slowd_dir_prev_168,1544.0
451,macdhist_prev_132,1544.5
452,macd_dir_prev_96,1544.5
453,macdsignal_prev_36,1545.0
454,macdsignal_dir_prev_120,1551.0
455,stoch_slowk_prev_56,1552.5
456,linear_reg_prev_128,1555.0
457,stoch_slowd_prev_56,1555.0
458,stoch_slowk_prev_168,1555.0
459,stoch_slowd_prev_84,1556.0
460,stoch_slowk_dir_prev_152,1559.0
461,linear_reg_angle_prev_52,1559.5
462,stoch_diff_prev_176,1560.0
463,macd_prev_8,1560.0
464,stoch_slowk_prev_176,1560.5
465,stoch_slowk_dir_prev_92,1562.0
466,macdsignal_dir_prev_76,1563.0
467,stoch_slowd_prev_188,1564.0
468,macdsignal_dir_prev_180,1565.0
469,macdhist_prev_124,1566.0
470,linear_reg_angle_prev_120,1568.0
471,macd_dir_prev_132,1571.0
472,stoch_slowk_dir_prev_192,1574.5
473,macdsignal_dir_prev_132,1576.0
474,stoch_slowd_dir_prev_56,1577.5
475,macdhist_prev_84,1578.0
476,stoch_slowk_prev_76,1580.0
477,macdhist_prev_100,1580.0
478,stoch_slowk_dir_prev_180,1583.5
479,stoch_slowk_prev_132,1589.0
480,macdsignal_dir_prev_112,1591.0
481,linear_reg_angle_prev_36,1596.0
482,macdsignal_dir_prev_92,1597.0
483,macd_dir_prev_108,1599.0
484,macdhist_prev_116,1602.0
485,stoch_slowk_prev_192,1602.5
486,macd_dir_prev_172,1604.0
487,macdhist_prev_188,1604.5
488,stoch_slowd_dir_prev_184,1606.5
489,macdhist_prev_128,1608.0
490,stoch_slowd_dir_prev_100,1608.5
491,stoch_slowd_dir_prev_120,1613.0
492,stoch_slowk_dir_prev_132,1614.0
493,macdsignal_dir_prev_4,1614.5
494,stoch_diff_prev_28,1614.5
495,macdsignal_prev_68,1616.0
496,macd_prev_36,1620.0
497,macdsignal_prev_20,1621.0
498,atr_prev_44,1623.0
499,linear_reg_angle_prev_164,1624.5
500,linear_reg_prev_36,1626.0
501,macdsignal_dir_prev_144,1627.0
502,macd_prev_44,1628.0
503,rsi_prev_28,1630.0
504,macdsignal_dir_prev_52,1631.0
505,linear_reg_prev_88,1631.5
506,atr_prev_84,1632.0
507,macd_prev_152,1632.5
508,stoch_slowd_prev_60,1633.0
509,stoch_slowk_dir_prev_68,1635.0
510,stoch_slowd_prev_124,1637.0
511,macd_dir_prev_136,1638.5
512,rsi_prev_84,1642.0
513,stoch_slowd_prev_128,1645.0
514,stoch_slowd_prev_32,1651.5
515,linear_reg_prev_140,1655.0
516,stoch_slowk_dir_prev_80,1655.5
517,atr_prev_68,1656.0
518,stoch_slowk_dir_prev_156,1656.0
519,stoch_slowk_prev_84,1659.0
520,atr_prev_100,1661.0
521,rsi_prev_156,1662.0
522,stoch_slowk_dir_prev_16,1662.5
523,volume_prev_144,1664.0
524,linear_reg_prev_68,1664.0
525,atr_prev_36,1665.0
526,rsi_prev_20,1665.0
527,stoch_slowk_dir_prev_28,1665.5
528,stoch_slowk_dir_prev_188,1665.5
529,linear_reg_prev_192,1668.0
530,stoch_slowk_prev_140,1668.0
531,atr_prev_136,1670.0
532,atr_prev_80,1671.0
533,atr_prev_160,1672.0
534,macdsignal_dir_prev_28,1673.0
535,macd_dir_prev_148,1674.0
536,stoch_slowd_dir_prev_16,1674.5
537,low_prev_72,1675.0
538,stoch_diff_prev_24,1676.0
539,linear_reg_angle_prev_100,1676.0
540,stoch_slowk_dir_prev_176,1676.0
541,stoch_slowk_prev_156,1676.5
542,atr_prev_164,1677.0
543,stoch_slowd_prev_96,1678.0
544,stoch_slowk_dir_prev_184,1678.5
545,atr_prev_96,1679.0
546,atr_prev_32,1681.0
547,atr_prev_76,1682.0
548,atr_prev_56,1684.0
549,stoch_slowd_prev_16,1684.0
550,stoch_slowk_dir_prev_20,1686.0
