,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_feature_num,params_high_bound,params_is_unbalance,params_learning_rate,params_max_bin,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state,n_estimators
142,142,461.0,2024-01-25 23:24:19.228124,2024-01-25 23:24:47.754994,0 days 00:00:28.526870,dart,0.7631978474114753,60,0.5000649965801587,False,0.0011995017449138216,147,5,2195,117,1.5240016773787395e-06,1.1766436495370312e-05,0.3374537736397317,COMPLETE,0.0
244,244,460.0,2024-01-26 00:24:00.492703,2024-01-26 00:24:36.703852,0 days 00:00:36.211149,dart,0.7275256673077427,57,0.5001164472298482,False,0.0011168865024897502,142,5,2794,125,0.00046648749686724924,6.258351325244725e-06,0.31088476903829126,COMPLETE,0.0
461,461,460.0,2024-01-26 02:19:03.594978,2024-01-26 02:19:39.806999,0 days 00:00:36.212021,dart,0.7232939655663427,50,0.5001027996272189,False,0.001159800321844473,112,5,2806,113,0.00013309387472029805,8.978548998087885e-06,0.32617475418975955,COMPLETE,0.0
204,204,460.0,2024-01-26 00:01:07.121652,2024-01-26 00:01:41.037128,0 days 00:00:33.915476,dart,0.7923889000308787,58,0.5062387454093835,False,0.0015281506990259472,132,5,2616,125,2.994815017092733e-08,0.00018735251936725862,0.3108020895766624,COMPLETE,0.0
202,202,460.0,2024-01-25 23:59:57.816621,2024-01-26 00:00:31.667790,0 days 00:00:33.851169,dart,0.7918963522047745,58,0.5006425949751591,False,0.0014894178941722536,139,5,2615,120,3.438204171121458e-08,0.00029158302769353913,0.31842620977485253,COMPLETE,0.0
330,330,459.0,2024-01-26 01:17:44.150562,2024-01-26 01:18:17.637424,0 days 00:00:33.486862,dart,0.439721943482615,57,0.5001295451292326,False,0.0028138431908667806,116,5,2703,122,5.617150013192503e-05,0.0037636414269475544,0.3120856265733931,COMPLETE,0.0
122,122,458.0,2024-01-25 23:11:56.508189,2024-01-25 23:12:29.662081,0 days 00:00:33.153892,dart,0.7819383088656955,50,0.5005752249252727,False,0.001014493104737886,134,5,2562,126,6.75153465224936e-08,3.785686828094535e-05,0.34130525491495256,COMPLETE,0.0
75,75,458.0,2024-01-25 22:46:07.546687,2024-01-25 22:46:43.896840,0 days 00:00:36.350153,dart,0.5650846107647317,71,0.5015633812566215,False,0.0010799468545534478,121,5,2758,70,0.0006131126192148358,2.0867656342522122e-05,0.3557653923993729,COMPLETE,0.0
266,266,458.0,2024-01-26 00:37:40.534879,2024-01-26 00:38:03.316715,0 days 00:00:22.781836,dart,0.4148974240548494,50,0.5064605145174161,False,0.0019585331575529123,131,5,2849,6,0.0007110679574049011,0.00019490288049563048,0.3125040468715349,COMPLETE,0.0
439,439,458.0,2024-01-26 02:08:12.936451,2024-01-26 02:08:48.006834,0 days 00:00:35.070383,dart,0.7149976307762275,50,0.5078146677610872,False,0.0018383671578871114,109,5,2768,123,0.00015071206413046169,0.00022823186674041646,0.32180519735534957,COMPLETE,0.0
123,123,457.0,2024-01-25 23:12:29.662942,2024-01-25 23:13:04.563055,0 days 00:00:34.900113,dart,0.8561164675725009,71,0.5004046578846177,False,0.0009542246970080701,135,5,2621,125,5.6763479857462855e-08,4.6353249061477735e-05,0.34477613903011517,COMPLETE,0.0
289,289,457.0,2024-01-26 00:50:56.446378,2024-01-26 00:51:33.188466,0 days 00:00:36.742088,dart,0.7715989347024788,59,0.5069408101700303,False,0.0011480037424193518,130,5,2791,126,1.9473702579064063e-08,1.217654610643343e-08,0.35599748744579907,COMPLETE,0.0
404,404,457.0,2024-01-26 01:54:08.589755,2024-01-26 01:54:42.017266,0 days 00:00:33.427511,dart,0.7901606044424597,50,0.5071528964498178,False,0.0012725487136238374,119,5,2635,117,3.631182318838299e-08,6.476002698212452e-06,0.32124074321005475,COMPLETE,0.0
57,57,457.0,2024-01-25 22:35:09.404340,2024-01-25 22:35:34.788291,0 days 00:00:25.383951,dart,0.48456165731144707,56,0.500571541032576,False,0.0009197046346889873,86,6,2109,16,1.9537354062200158e-05,2.93141414736463e-05,0.7405774202457795,COMPLETE,0.0
144,144,456.0,2024-01-25 23:25:16.848535,2024-01-25 23:25:45.280286,0 days 00:00:28.431751,dart,0.7760350262341151,60,0.5082679358187705,False,0.0012461093851959418,143,5,2165,123,4.290002078837188e-08,9.034347379896072e-06,0.33872773761986097,COMPLETE,0.0
467,467,456.0,2024-01-26 02:22:28.722723,2024-01-26 02:23:03.238204,0 days 00:00:34.515481,dart,0.8045272000155517,64,0.5000351852869951,False,0.0028856350422690525,116,5,2701,124,3.551948456837499e-08,0.0006737472588452767,0.30055005816046504,COMPLETE,0.0
