number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_corr_thresh,params_feature_num,params_high_bound,params_is_unbalance,params_learning_rate,params_low_bound,params_max_bin,params_max_depth,params_max_train_size,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_sample_weight,params_subsample,state
445,535.1951908861511,2024-09-30 21:47:19.996695,2024-09-30 21:47:54.589332,0 days 00:00:34.592637,gbdt,0.8893108998868853,0.6209063549980098,128,0.49830682797915044,True,0.0017628775439626526,0.031852369547389875,106,9,0.5388766105093765,718,302,6.442748514215643e-06,1.6634317199456727e-05,,0.5723810097472114,COMPLETE
366,534.4237400997824,2024-09-30 20:56:03.165642,2024-09-30 20:56:42.393311,0 days 00:00:39.227669,gbdt,0.878974579038887,0.6180294289097271,165,0.5050075794666545,True,0.0020612988306464718,0.04140575110489666,109,9,0.5158540345008793,722,305,6.133593460261069e-06,2.349938969520863,,0.5500945432842352,COMPLETE
474,533.0116836665159,2024-09-30 22:07:18.743965,2024-09-30 22:07:49.673669,0 days 00:00:30.929704,gbdt,0.8682201747015859,0.5884791115040421,107,0.5067360897281743,True,0.0016614359621444528,0.037919812287329505,92,9,0.5294293399964068,800,306,2.6783985975114295e-06,1.303062729986155,,0.47671798544079874,COMPLETE
381,532.8357769931475,2024-09-30 21:04:38.919731,2024-09-30 21:05:18.324286,0 days 00:00:39.404555,gbdt,0.8407840648378442,0.6155047149672616,153,0.511538489712359,True,0.0017394324295120075,0.04642565829126932,120,10,0.5001523486461925,641,280,3.6001274156167197e-06,8.38233429457323e-07,,0.5416957118954787,COMPLETE
391,529.7754478558322,2024-09-30 21:10:27.183904,2024-09-30 21:10:59.006682,0 days 00:00:31.822778,gbdt,0.861821835611077,0.6141548365429467,142,0.5127100478944558,True,0.0022080979221334594,0.04433509270110803,105,10,0.5111577933750371,571,284,1.6142772887265486e-06,1.827208524739457e-07,,0.5037321519522269,COMPLETE
416,529.4753210947931,2024-09-30 21:26:36.773366,2024-09-30 21:27:10.791800,0 days 00:00:34.018434,gbdt,0.8545408183512911,0.6194419736075284,156,0.5169229926900234,True,0.0032349128263353265,0.04935756093603547,111,9,0.5000056379209449,679,289,2.029471749962577e-07,2.5921271952008318e-05,,0.5490752729181926,COMPLETE
399,528.3947234762989,2024-09-30 21:15:55.267966,2024-09-30 21:16:24.991377,0 days 00:00:29.723411,gbdt,0.8672433299261777,0.6159209277274684,127,0.49807868705383734,True,0.0020859341787023717,0.04670756880701145,109,9,0.5004123878918467,669,281,8.498997469069861e-07,2.8746286271048783e-08,,0.5163000744625282,COMPLETE
528,527.0991093750004,2024-09-30 22:46:23.882074,2024-09-30 22:46:51.523727,0 days 00:00:27.641653,gbdt,0.8559043231939021,0.61682179058435,149,0.5137505270625022,True,0.009489833435939827,0.030758412646258115,114,8,0.5178468011335857,653,237,1.8068032750270344e-05,1.6333942875548193,,0.5896591848699059,COMPLETE
550,525.7646954560233,2024-09-30 23:01:30.854869,2024-09-30 23:02:06.185848,0 days 00:00:35.330979,gbdt,0.8474194048049559,0.6260489447713575,116,0.5054639818645172,True,0.0012842765036273952,0.052535047698535155,106,8,0.5630471553367336,943,291,2.4282469910341195e-05,0.3627258899797499,,0.6177727932134585,COMPLETE
225,522.8633781057855,2024-09-30 19:26:51.685975,2024-09-30 19:27:25.674633,0 days 00:00:33.988658,gbdt,0.6854098308458267,0.5849917841923794,138,0.5114432459800315,True,0.000961998675534056,0.02980085974408024,110,8,0.5099544525154244,896,322,5.0629770602574935e-05,0.23415520229018197,,0.5878900183542207,COMPLETE
